% 1. Title: Video Game Genre Popularity and Success Analysis
%
% 2. Sources:
%      (a) Creator: Aingeru García
%      (b) Date: December 31, 2023
%      (c) Description: Analysis of video game genres' popularity and success over various years.
%      (d) Code and documentation: https://github.com/geru-scotland/videogames-dataset-analysis
%
% 3. Attribute Information:
%      (a) genre: Nominal. The genre of the video game (e.g., Action, RPG, Racing).
%      (b) year: Numeric. The year of the video games' release.
%      (c) average_rating: Numeric. The average user rating for games of a specific genre in a given year.
%      (d) game_count: Numeric. The number of games released in a particular genre during a specific year.
%      (e) genre_successful: Nominal. Indicator of success, 1 if the average rating is above 3.2, 0 otherwise.
%
% 4. Data Description:
%      This dataset contains information about various video game genres, their average ratings, and counts per year.
%      The genre_successful attribute is a derived metric indicating whether a genre can be considered successful
%      in a particular year based on the average rating threshold of 3.2.
%      There are 462 instances.
%
@RELATION video_games

@ATTRIBUTE genre {Action, Adventure, Arcade, Board-Games, Card, Casual, Educational, Family, Fighting, Indie, Massively-Multiplayer, Platformer, Puzzle, RPG, Racing, Shooter, Simulation, Sports, Strategy}
@ATTRIBUTE year NUMERIC
@ATTRIBUTE average_rating NUMERIC
@ATTRIBUTE game_count NUMERIC
@ATTRIBUTE genre_successful {0, 1}


@DATA
Action,1985,4.31,1,1
Action,1988,4.38,1,1
Action,1991,4.116666666666667,3,1
Action,1992,4.1850000000000005,2,1
Action,1993,2.9075,4,0
Action,1994,3.532,5,1
Action,1995,3.904,5,1
Action,1996,3.731666666666667,12,1
Action,1997,3.746,15,1
Action,1998,3.981875,16,1
Action,1999,3.744117647058824,17,1
Action,2000,3.664705882352941,17,1
Action,2001,3.7617391304347834,23,1
Action,2002,3.74,15,1
Action,2003,3.675,22,1
Action,2004,3.832,20,1
Action,2005,3.807777777777778,27,1
Action,2006,3.6833333333333336,27,1
Action,2007,3.7221875,32,1
Action,2008,3.662682926829268,41,1
Action,2009,3.615384615384616,52,1
Action,2010,3.5556944444444443,72,1
Action,2011,3.362736842105263,95,1
Action,2012,3.2896428571428573,112,1
Action,2013,3.3113422818791944,149,1
Action,2014,3.185695364238411,151,0
Action,2015,3.2729931972789115,147,1
Action,2016,3.372356687898089,157,1
Action,2017,3.354732824427481,131,1
Action,2018,3.49605504587156,109,1
Action,2019,3.535806451612903,93,1
Action,2020,3.580574712643678,87,1
Action,2021,3.650175438596491,57,1
Action,2022,3.818947368421053,38,1
Action,2023,4.132222222222222,9,1
Adventure,1984,1.77,1,0
Adventure,1985,3.26,2,1
Adventure,1988,3.515,2,1
Adventure,1990,2.6,2,0
Adventure,1991,3.605,4,1
Adventure,1992,3.165,2,0
Adventure,1993,1.9,1,0
Adventure,1994,2.2266666666666666,3,0
Adventure,1995,2.8966666666666665,3,0
Adventure,1996,3.83,4,1
Adventure,1997,4.088571428571429,7,1
Adventure,1998,4.191000000000001,10,1
Adventure,1999,3.80375,8,1
Adventure,2000,4.013333333333333,3,1
Adventure,2001,3.918,10,1
Adventure,2002,4.028571428571429,7,1
Adventure,2003,3.569090909090909,11,1
Adventure,2004,3.999166666666667,12,1
Adventure,2005,3.9738461538461536,13,1
Adventure,2006,3.7781818181818174,11,1
Adventure,2007,3.687857142857143,14,1
Adventure,2008,3.614090909090909,22,1
Adventure,2009,3.664545454545455,22,1
Adventure,2010,3.6546153846153846,39,1
Adventure,2011,3.344583333333333,48,1
Adventure,2012,3.4233333333333333,63,1
Adventure,2013,3.397126436781609,87,1
Adventure,2014,3.2453703703703702,108,1
Adventure,2015,3.297623762376237,101,1
Adventure,2016,3.3785436893203884,103,1
Adventure,2017,3.4918181818181817,99,1
Adventure,2018,3.622631578947368,95,1
Adventure,2019,3.6396,75,1
Adventure,2020,3.650845070422535,71,1
Adventure,2021,3.711730769230769,52,1
Adventure,2022,3.945,30,1
Adventure,2023,4.1925,8,1
Arcade,1990,4.37,1,1
Arcade,1991,4.11,1,1
Arcade,1992,4.28,1,1
Arcade,1995,3.78,1,1
Arcade,1996,3.053333333333333,3,0
Arcade,1999,4.036666666666666,3,1
Arcade,2000,3.97,1,1
Arcade,2001,3.15,2,0
Arcade,2003,3.93,3,1
Arcade,2004,3.8875,4,1
Arcade,2005,3.545,2,1
Arcade,2006,3.845,4,1
Arcade,2007,3.803333333333333,3,1
Arcade,2008,3.69,10,1
Arcade,2009,3.795,12,1
Arcade,2010,3.3042857142857143,14,1
Arcade,2011,3.627333333333333,15,1
Arcade,2012,3.192857142857143,28,0
Arcade,2013,3.4545000000000003,20,1
Arcade,2014,3.23,12,1
Arcade,2015,3.48,15,1
Arcade,2016,3.6014285714285714,14,1
Arcade,2017,3.61375,8,1
Arcade,2018,3.835714285714286,7,1
Arcade,2019,3.598333333333333,6,1
Arcade,2020,3.88,3,1
Arcade,2021,3.515,2,1
Arcade,2022,4.08,1,1
Board-Games,2006,3.23,1,1
Board-Games,2009,3.58,1,1
Board-Games,2010,2.94,1,0
Board-Games,2012,1.73,1,0
Board-Games,2013,2.865,4,0
Board-Games,2014,3.32,4,1
Board-Games,2015,3.1466666666666665,3,0
Board-Games,2016,3.27,3,1
Board-Games,2017,2.53,1,0
Board-Games,2018,3.59,1,1
Board-Games,2020,3.03,1,0
Card,2006,3.23,1,1
Card,2010,3.39,1,1
Card,2013,3.61,2,1
Card,2014,3.95,2,1
Card,2015,2.85,1,0
Card,2016,3.436666666666666,3,1
Card,2017,3.123333333333333,3,0
Card,2018,3.526666666666667,3,1
Card,2019,4.37,1,1
Card,2020,4.05,1,1
Card,2022,3.83,2,1
Casual,1990,3.21,1,1
Casual,1996,4.14,1,1
Casual,1999,4.13,1,1
Casual,2000,3.97,1,1
Casual,2002,2.59,1,0
Casual,2003,3.91,1,1
Casual,2004,3.876666666666667,3,1
Casual,2005,3.26,2,1
Casual,2006,3.23,1,1
Casual,2007,3.93,1,1
Casual,2008,3.315,4,1
Casual,2009,3.336,10,1
Casual,2010,3.048,15,0
Casual,2011,2.7094117647058824,17,0
Casual,2012,3.098333333333333,24,0
Casual,2013,2.7685,20,0
Casual,2014,2.710212765957446,47,0
Casual,2015,2.826904761904762,42,0
Casual,2016,3.088205128205128,39,0
Casual,2017,3.1670000000000003,30,0
Casual,2018,3.4327272727272726,22,1
Casual,2019,3.462142857142857,14,1
Casual,2020,3.663684210526316,19,1
Casual,2021,3.37,6,1
Casual,2022,4.01625,8,1
Educational,2001,3.02,1,0
Educational,2004,3.96,1,1
Educational,2006,3.23,1,1
Educational,2008,3.815,2,1
Educational,2013,3.6166666666666663,3,1
Educational,2014,2.395,2,0
Educational,2015,2.74,3,0
Educational,2016,3.12,1,0
Educational,2017,3.37,1,1
Educational,2020,3.18,1,0
Family,2005,3.88,1,1
Family,2006,3.23,1,1
Family,2007,3.835,2,1
Family,2008,3.695,6,1
Family,2009,3.712,5,1
Family,2010,3.5125,4,1
Family,2011,3.526666666666667,6,1
Family,2012,3.62375,8,1
Family,2013,3.6425,4,1
Family,2014,3.3875,8,1
Family,2015,3.3125,4,1
Family,2016,3.86,3,1
Family,2017,3.615,4,1
Family,2018,3.58,3,1
Family,2019,4.1066666666666665,3,1
Family,2020,3.68,1,1
Fighting,1992,3.95,1,1
Fighting,1996,4.14,1,1
Fighting,1999,4.13,1,1
Fighting,2000,3.97,1,1
Fighting,2004,3.96,1,1
Fighting,2006,3.575,2,1
Fighting,2008,2.9233333333333333,3,0
Fighting,2009,3.78,1,1
Fighting,2010,3.61,3,1
Fighting,2011,3.603333333333333,3,1
Fighting,2012,3.39,2,1
Fighting,2013,3.618571428571428,7,1
Fighting,2014,3.068,5,0
Fighting,2015,3.723333333333333,6,1
Fighting,2016,3.593,10,1
Fighting,2017,3.4,4,1
Fighting,2018,4.0633333333333335,3,1
Fighting,2019,3.306666666666666,3,1
Fighting,2020,3.2700000000000005,2,1
Fighting,2021,3.3266666666666667,3,1
Fighting,2022,3.7833333333333337,3,1
Indie,1988,2.65,1,0
Indie,1990,3.21,1,1
Indie,1994,2.74,1,0
Indie,1997,2.97,1,0
Indie,2000,2.83,2,0
Indie,2001,3.665,2,1
Indie,2002,4.02,1,1
Indie,2003,3.5420000000000003,5,1
Indie,2004,3.2,4,1
Indie,2005,3.373333333333333,3,1
Indie,2006,3.112,5,0
Indie,2007,3.1100000000000003,5,0
Indie,2008,3.511428571428571,14,1
Indie,2009,3.0795238095238098,21,0
Indie,2010,3.357391304347826,23,1
Indie,2011,3.007647058823529,51,0
Indie,2012,3.1798850574712643,87,0
Indie,2013,3.195148514851485,101,0
Indie,2014,3.027883211678832,137,0
Indie,2015,3.176285714285714,140,0
Indie,2016,3.2527131782945737,129,1
Indie,2017,3.2692792792792797,111,1
Indie,2018,3.526862745098039,102,1
Indie,2019,3.535774647887324,71,1
Indie,2020,3.54969696969697,66,1
Indie,2021,3.603870967741936,31,1
Indie,2022,3.911052631578948,19,1
Indie,2023,3.77,1,1
Massively-Multiplayer,2000,4.31,1,1
Massively-Multiplayer,2001,3.53,1,1
Massively-Multiplayer,2003,3.38,1,1
Massively-Multiplayer,2004,4.31,1,1
Massively-Multiplayer,2006,3.23,1,1
Massively-Multiplayer,2009,4.42,1,1
Massively-Multiplayer,2010,2.975,2,0
Massively-Multiplayer,2011,2.8866666666666667,6,0
Massively-Multiplayer,2012,3.0075,8,0
Massively-Multiplayer,2013,3.127272727272727,11,0
Massively-Multiplayer,2014,2.659,10,0
Massively-Multiplayer,2015,2.88,10,0
Massively-Multiplayer,2016,2.951428571428571,21,0
Massively-Multiplayer,2017,2.894705882352941,17,0
Massively-Multiplayer,2018,3.10875,8,0
Massively-Multiplayer,2019,3.1333333333333333,3,0
Massively-Multiplayer,2020,3.74,1,1
Massively-Multiplayer,2021,3.035,2,0
Massively-Multiplayer,2022,3.44,2,1
Platformer,1985,4.31,1,1
